instance solosat solosat_v_3 
graphs/hc-36-5-2.col 0.47 0.96 
graphs/hc-36-5-3.col 1.07 0.77 
graphs/hc-36-6-1.col 0.44 0.6 
graphs/hc-36-6-2.col 0.36 0.73 
graphs/hc-36-6-3.col 0.42 0.64 
graphs/hc-36-7-1.col 0.34 0.41 
graphs/hc-36-7-2.col 0.35 0.77 
graphs/hc-36-7-3.col 0.62 0.88 
graphs/hc-38-3-1.col 3.36 2.49 
graphs/hc-38-3-2.col 5.63 2.18 
graphs/hc-38-3-3.col 3.09 1.47 
graphs/hc-38-4-1.col 3.65 2.95 
graphs/hc-38-4-2.col 4.41 2.31 
graphs/hc-38-4-3.col 2.85 4.91 
graphs/hc-38-5-1.col 0.92 0.93 
graphs/hc-38-5-2.col 0.81 1.37 
graphs/hc-38-5-3.col 1.19 1.4 
graphs/hc-38-6-1.col 0.51 0.77 
graphs/hc-38-6-2.col 0.53 0.6 
graphs/hc-38-6-3.col 0.49 0.59 
graphs/hc-38-7-1.col 0.41 0.76 
graphs/hc-38-7-2.col 0.46 0.78 
graphs/hc-38-7-3.col 0.43 1.33 
graphs/hc-40-3-1.col 2.57 8.69 
graphs/hc-40-3-2.col 6.46 7.1 
graphs/hc-40-3-3.col 7.26 T 
graphs/hc-40-4-1.col 1.03 1.23 
graphs/hc-40-4-2.col 3.04 7.16 
graphs/hc-40-4-3.col 1.84 8.27 
graphs/hc-7.col 0.0 0.00999999999999 
graphs/hc-8.col 0.01 0.0 
graphs/hc-9.col 0.02 0.0 
graphs/hc-unknown-20-3-1.col 0.06 0.04 
graphs/hc-unknown-20-3-2.col 0.07 0.07 
graphs/hc-unknown-20-3-3.col 0.04 0.06 
graphs/hc-unknown-20-4-1.col 0.04 0.07 
graphs/hc-unknown-20-4-2.col 0.05 0.06 
graphs/hc-unknown-20-4-3.col 0.05 0.05 
graphs/hc-unknown-20-5-1.col 0.04 0.04 
graphs/hc-unknown-20-5-2.col 0.05 0.07 
graphs/hc-unknown-20-5-3.col 0.02 0.05 
graphs/hc-unknown-20-6-1.col 0.03 0.05 
graphs/hc-unknown-20-6-2.col 0.03 0.04 
graphs/hc-unknown-20-6-3.col 0.05 0.07 
graphs/hc-unknown-20-7-1.col 0.05 0.04 
graphs/hc-unknown-20-7-2.col 0.05 0.06 
graphs/hc-unknown-20-7-3.col 0.04 0.04 
graphs/hc-unknown-22-3-1.col 0.06 0.08 
graphs/hc-unknown-22-3-2.col 0.06 0.09 
graphs/hc-unknown-22-3-3.col 0.08 0.11 
graphs/hc-unknown-22-4-1.col 0.09 0.07 
graphs/hc-unknown-22-4-2.col 0.07 0.08 
graphs/hc-unknown-22-4-3.col 0.07 0.08 
graphs/hc-unknown-22-5-1.col 0.06 0.09 
graphs/hc-unknown-22-5-2.col 0.06 0.11 
graphs/hc-unknown-22-5-3.col 0.07 0.11 
graphs/hc-unknown-22-6-1.col 0.06 0.1 
graphs/hc-unknown-22-6-2.col 0.06 0.26 
graphs/hc-unknown-22-6-3.col 0.05 0.11 
graphs/hc-unknown-22-7-1.col 0.05 0.06 
graphs/hc-unknown-22-7-2.col 0.06 0.06 
graphs/hc-unknown-22-7-3.col 0.07 0.07 
graphs/hc-unknown-24-3-1.col 0.03 0.03 
graphs/hc-unknown-24-3-2.col 0.09 0.14 
graphs/hc-unknown-24-3-3.col 0.09 0.26 
graphs/hc-unknown-24-4-1.col 0.1 0.1 
graphs/hc-unknown-24-4-2.col 0.08 0.16 
graphs/hc-unknown-24-4-3.col 0.13 0.18 
graphs/hc-unknown-24-5-1.col 0.07 0.08 
graphs/hc-unknown-24-5-2.col 0.08 0.08 
graphs/hc-unknown-24-5-3.col 0.08 0.13 
graphs/hc-unknown-24-6-1.col 0.09 0.18 
graphs/hc-unknown-24-6-2.col 0.08 0.08 
graphs/hc-unknown-24-6-3.col 0.08 0.11 
graphs/hc-unknown-24-7-1.col 0.07 0.19 
graphs/hc-unknown-24-7-2.col 0.1 0.15 
graphs/hc-unknown-24-7-3.col 0.11 0.1 
